surface_name	site_name	species_name	formation_energy	frequencies	reference
Cu	100	OCCH2-	-1.049174589726	[22.877084, 46.718162, 106.845537, 199.719502, 317.621788, 369.292313, 536.786040, 702.430876, 896.828235, 1046.582942, 1351.448626, 1889.271591, 3016.718193, 3161.842571]	HHH surface sampling
Cu	100	OCCH2-H2O-ele	-0.615002675863	[89.374421, 141.776663, 247.894756, 294.077549, 313.085973, 432.279359, 544.784888, 695.243764, 768.833731, 925.741495, 1108.243613, 1184.895671, 1221.656436, 1374.474648, 1438.794093, 3046.040508, 3159.392399]	HHH GPAW
Cu	100	OCCH2-OH2-ele	-0.333942899806	[119.483226, 130.144889, 143.874827, 269.815683, 327.335536, 434.619558, 519.114008, 608.689742, 871.819805, 1009.250003, 1090.298027, 1294.741908, 1377.520713, 1410.577435, 1429.045174, 2948.479323, 3029.285126]	HHH GPAW
Cu	100	OCCH2-ele-H2O	-0.166896819439	[129.969627, 168.789699, 181.359210, 230.663791, 272.132550, 362.516637, 543.856849, 720.845175, 777.852292, 900.668840, 1075.798247, 1159.701542, 1334.722173, 1473.554577, 3028.746171, 3119.707850, 3608.759990]	HHH GPAW
Cu	100	OCCH3	-2.118893000000	[12.0, 12.0, 12.0, 155.136243, 265.663676, 336.181293, 397.633981, 586.450846, 889.651729, 969.225636, 1087.920205, 1323.554838, 1410.123999, 1431.474008, 1476.033676, 2979.215081, 3060.554421, 3145.147847,]	beta=(-0.04013350545830884, -1.942305299235127)
Cu	100	OCCOH	-0.215180000000	[111.826455, 190.555232, 257.38489, 265.571113, 282.233256, 341.887828, 360.516075, 460.751002, 530.859572, 717.124233, 890.380705, 1026.801716, 1282.402087, 1366.923572, 3634.841203,]	beta=(0.4884538617422778, -2.3643771452121016)
Cu	100	OH	0.136378000000	[12.0, 202.315287, 361.985027, 582.904276, 688.253104, 3709.376582,]	beta=(0.2561336473937205, -0.9906097370586688)
Cu	100	OHCCH2	-2.402990000000	[12.0, 182.93645, 202.878487, 222.318988, 260.689881, 324.94201, 510.466179, 689.900098, 722.122236, 901.190899, 948.649077, 1192.803136, 1289.296075, 1387.168752, 1506.446963, 2940.129752, 3112.162946, 3219.558345,]	beta=(-0.13692565314373858, -1.800516962252759)
Cu	110	CO	-0.615297000000	[93.404529, 219.725813, 229.410186, 250.045356, 338.724917, 1821.095806,]	beta=(-0.07514393918370614, -0.2846638995601361)
Cu	110	HCCHO	-2.047126000000	[119.038688, 200.29399, 217.268312, 249.006235, 300.245497, 371.632481, 637.153324, 754.25447, 862.258985, 985.552233, 1210.302082, 1328.893143, 1432.36519, 2944.438465, 2981.35711,]	beta=(-0.016742518141351328, -1.9734592656657295)
Cu	110	HOCCH2	-1.812996000000	[12.0, 156.50343, 182.459745, 231.419186, 339.052729, 345.217526, 467.044337, 531.864089, 717.086542, 767.035224, 901.808948, 1075.031933, 1234.786457, 1363.238175, 1511.198598, 3066.636602, 3170.486903, 3440.751142,]	beta=(0.053868460946485404, -2.0500176387308695)
Cu	110	OCC	-0.988255000000	[142.254268, 179.603208, 259.366541, 319.557147, 339.233233, 526.429254, 533.807086, 1239.478569, 1971.991354,]	beta=(0.2166362563146809, -1.9414543432943376)
Cu	110	OCCH	-1.926473000000	[12.0, 100.40702, 171.662106, 238.341283, 301.324211, 462.628701, 489.51512, 575.297892, 835.875401, 1200.318049, 2041.647492, 3161.228886,]	beta=(-0.06531177951437711, -1.6391015910468)
Cu	110	OCCH-H2O-ele	-0.666252850489	[146.802275, 170.494323, 202.786691, 342.475475, 508.327858, 529.007268, 818.263854, 1063.037437, 1193.271208, 1419.133989, 2037.093467, 3167.745375]	HHH GPAW
Cu	110	OCCH2	-1.323694000000	[115.2, 151.2,  256.6, 301.0, 391.8, 563.9, 685.7, 756.7, 993.3, 1065.6, 1386.2, 1428.5, 2985.1, 3101.3]	beta=(0.27665970375997206, -2.540996753525458)
Cu	110	OCCH2-	-0.924466968411	[61.712834, 236.312010, 348.848042, 464.254037, 585.646893, 933.665378, 1130.283099, 1346.947104, 2155.449083, 3147.107898, 3239.250458]	HHH surface sampling
Cu	110	OCCH2-H2O-ele	-0.502952735150	[138.513661, 210.332758, 226.804919, 269.775206, 323.414048, 492.751106, 584.937239, 750.664672, 803.178385, 969.082384, 1128.961107, 1151.637784, 1246.161235, 1437.515456, 1497.530695, 2981.773030, 3105.648501]	HHH GPAW
Cu	110	OCCH2-OH2-ele	-0.154955239425	[129.788744, 210.636983, 275.317972, 343.190462, 366.820336, 472.243598, 542.243078, 689.768454, 905.778407, 986.975659, 1079.813903, 1301.704934, 1319.012721, 1360.206734, 1448.474246, 2938.940504, 3039.384129]	HHH GPAW
Cu	110	OCCH2-ele-H2O	-0.479857837591	[211.803118, 250.504164, 297.647938, 340.277359, 492.536596, 567.542404, 687.594610, 751.096370, 899.217906, 1044.006405, 1199.655877, 1323.846751, 1467.431911, 3011.812693, 3146.633968, 3425.339249]	HHH GPAW
Cu	110	OCCH3	-2.143103000000	[12.0, 25.069813, 135.12006, 161.275347, 183.094916, 227.017712, 299.439407, 538.608851, 864.252955, 896.65479, 1041.4018, 1318.572955, 1414.847163, 1443.255943, 1512.781106, 2969.379698, 3044.440309, 3079.43698,]	beta=(-0.06701996529852268, -1.8482149355507547)
Cu	110	OCCOH	-0.491008000000	[162.96259, 198.772441, 243.735709, 274.89488, 294.312348, 356.723174, 421.44835, 447.915903, 523.796211, 766.632173, 949.208532, 996.339299, 1228.685031, 1290.316552, 3631.717526,]	beta=(0.25893229722966676, -1.630310172566427)
Cu	110	OH	-0.468426000000	[146.228996, 334.018338, 356.521274, 699.188619, 776.933644, 3700.241975,]	beta=(0.019295168137768673, -0.5533246870655576)
Cu	110	OHCCH2	-2.784781000000	[12.0, 157.525694, 192.637784, 247.524757, 270.423431, 337.761275, 513.104914, 740.195388, 766.006276, 917.311669, 966.659185, 1204.32846, 1268.486998, 1397.382001, 1517.446802, 2967.821594, 3107.76298, 3210.802151,]	beta=(0.07074451756816948, -3.0960569544123406)
Cu	111	CO	-0.188114000000	[167.813087, 190.875741, 268.298891, 303.381683, 333.354523, 1689.617883,]	beta=(0.1523670746611968, -0.8585293405548797)
Cu	111	HCCHO	-1.577461000000	[76.223157, 119.004766, 189.096072, 281.058216, 346.720101, 402.843427, 688.458196, 705.586732, 916.998351, 1070.331649, 1250.011093, 1305.260314, 1433.253268, 2972.957475, 3015.092751,]	beta=(-0.040162344099271385, -1.40074717395054)
Cu	111	HOCCH2	-0.859097000000	[12.0, 12.0, 136.612362, 235.289866, 279.718972, 359.868912, 419.185746, 514.872967, 661.243127, 808.328607, 904.017256, 1052.658375, 1190.962765, 1352.631032, 1525.531006, 3038.62335, 3144.109059, 3486.649152,]	beta=(-0.010199814099671313, -0.8142178193350166)
Cu	111	OCC	-0.890496000000	[12.0, 12.0, 211.931697, 273.489113, 331.152593, 502.796717, 566.852393, 1242.089147, 2016.315756,]	beta=(0.13142439252781452, -1.468763061305323)
Cu	111	OCCH	-1.104392000000	[13.810942, 100.638832, 209.519336, 242.943119, 299.644475, 460.995087, 494.745792, 554.351186, 865.360842, 1175.281859, 2024.820693, 3136.519836,]	beta=(-0.06833260508724023, -0.8037281436985879)
Cu	111	OCCH-H2O-ele	-0.084830066840	[52.603157, 165.573906, 181.171710, 184.738901, 340.278924, 502.254823, 586.102910, 622.416373, 853.404986, 1230.467420, 1280.612025, 2000.820873, 2854.698921, 3235.599595]	HHH GPAW
Cu	111	OCCH2	-1.062296000000	[71.49528631, 100.86801378, 185.97222562, 252.22600571, 293.65377702, 390.97061215, 554.80437572, 667.93067734, 766.92946946, 969.5506279, 1078.84536359, 1356.52247019, 1420.0799495, 3001.1671698, 3082.39743557]	beta=(0.11830932139204409, -1.5828568997897559)
Cu	111	OCCH2-	-0.882686106546	[223.135417, 300.770161, 347.205227, 563.068851, 710.867917, 915.093197, 1016.939439, 1354.637058, 1791.493594, 2998.787856, 3172.084585]	HHH surface sampling
Cu	111	OCCH2-H2O-ele	-1.722296000000	[]	No barrier
Cu	111	OCCH2-OH2-ele	-0.028214964389	[178.944306, 276.092935, 343.234999, 375.203528, 431.025748, 512.036074, 683.821824, 839.370238, 974.233951, 1051.616011, 1284.888457, 1352.365595, 1405.825506, 1444.456086, 2943.641177, 3051.622126]	HHH GPAW
Cu	111	OCCH2-ele-H2O	0.217865559903	[86.394604, 197.567175, 252.194130, 313.533705, 377.251695, 520.647856, 708.457035, 856.257569, 903.278580, 953.707260, 1097.729381, 1252.009130, 1404.331345, 1478.126698, 1688.915110, 2993.114623, 3129.727356]	HHH GPAW
Cu	111	OCCH3	-1.956304000000	[12.0, 12.0, 91.524455, 192.482355, 234.788461, 342.722318, 369.387457, 588.235613, 887.033646, 934.999566, 1080.287274, 1322.259091, 1402.611551, 1447.160571, 1503.952029, 2962.131183, 3039.025423, 3070.544226,]	beta=(-0.18657156593711516, -1.1353887372557738)
Cu	111	OCCOH	0.223247000000	[118.084545, 126.499106, 206.440726, 218.277425, 247.348453, 319.855863, 341.653681, 396.532386, 495.003541, 731.979576, 937.050601, 1004.131047, 1199.37725, 1351.197588, 3719.078904,]	beta=(0.35524623710613434, -1.3398360326664542)
Cu	111	OH	0.262070000000	[97.617682, 288.874451, 366.301287, 375.183061, 505.159305, 3766.04413,]	beta=(0.15839346243475702, -0.43486090828583207)
Cu	111	OHCCH2	-1.866050000000	[12.0, 131.21064, 181.530662, 195.717638, 277.723099, 304.797649, 507.279651, 665.646983, 749.862644, 910.863821, 1016.247321, 1198.002969, 1344.128515, 1402.900807, 1533.072812, 2880.94932, 3054.048583, 3143.864225,]	beta=(0.251668865790864, -2.9733928543103327)
Cu	211	CO	-0.350195000000	[240.170341, 259.619725, 279.605456, 337.281875, 359.391887, 1808.277071,]	beta=(0.27093783669614774, -1.5423211096511762)
Cu	211	HCCHO	-1.768246000000	[197.885676, 218.878013, 265.900265, 319.770404, 347.536741, 405.638568, 652.298552, 790.689329, 921.235762, 1096.021043, 1244.910047, 1371.992028, 1452.229546, 2917.639154, 3040.022459,]	beta=(-0.019466141257870138, -1.6825952436195541)
Cu	211	HOCCH2	-1.790557000000	[12.0, 97.971113, 178.99798, 219.207116, 239.408253, 368.336299, 492.52643, 550.955424, 667.096567, 789.629607, 891.257723, 1099.822689, 1223.2918, 1372.780149, 1492.667413, 3103.40199, 3192.116324, 3484.037117,]	beta=(-0.125065736418398, -1.2402673162966227)
Cu	211	OCC	-0.976052000000	[149.476684, 258.779825, 292.021914, 304.675912, 335.413635, 544.906703, 566.992508, 1219.675162, 1985.522867,]	beta=(0.13143763341072018, -1.5543775336985717)
Cu	211	OCCH	-1.774593000000	[148.49215, 187.611591, 237.502743, 292.618773, 354.071756, 463.129459, 536.839862, 584.027498, 877.532822, 1184.529661, 2014.409949, 3180.365747,]	beta=(-0.11495514953714735, -1.2687903000796124)
Cu	211	OCCH-H2O-ele	-0.269552605404	[135.071304, 156.570877, 171.627079, 268.479920, 406.512615, 507.268943, 531.461368, 656.226946, 904.306713, 1132.430495, 1247.092848, 1381.484716, 2056.184722, 3125.104303]	HHH GPAW
Cu	211	OCCH2	-1.607349000000	[45.56006335, 145.15337701, 183.46300361, 227.89006754, 319.40852225, 405.3094433, 540.56051208, 666.74696001, 766.09965567, 1002.26600824, 1063.59664888, 1404.6632849, 1468.49631366, 2979.36106523, 3095.79777653]	beta=(0.030232528168486327, -1.7403723380305447)
Cu	211	OCCH2-	-1.423599262797	[85.981975, 178.256765, 197.260492, 225.697592, 432.914500, 476.189093, 598.504058, 968.116204, 1166.633549, 1399.045326, 2162.245790, 3154.889172, 3247.434819]	HHH surface sampling
Cu	211	OCCH2-H2O-ele	-0.551980857025	[97.672679, 258.728373, 304.006223, 429.611406, 555.695432, 771.495002, 847.768792, 994.416339, 1032.405502, 1104.589639, 1422.057338, 1442.571412, 1456.373427, 2969.441648, 3103.260555]	HHH GPAW
Cu	211	OCCH2-OH2-ele	-0.182760545057	[163.896456, 178.397277, 233.339090, 290.210019, 395.701016, 462.663795, 586.162459, 686.336237, 931.359643, 986.888502, 1082.115622, 1324.522348, 1422.164155, 1438.725401, 1481.533151, 2965.516777, 3045.479697]	HHH GPAW
Cu	211	OCCH2-ele-H2O	-0.622277291977	[130.903837, 201.254916, 240.745638, 262.120591, 362.536619, 528.054989, 723.099548, 792.750066, 920.866995, 1082.951327, 1202.869650, 1354.556200, 1485.207624, 3032.658203, 3136.924860, 3666.399776]	HHH GPAW
Cu	211	OCCH3	-2.227847000000	[12.0, 64.709744, 98.374366, 111.897603, 191.145146, 257.939709, 384.320637, 577.085648, 886.601323, 928.377716, 1072.264705, 1325.877552, 1402.145417, 1415.077494, 1511.777242, 2969.691517, 3063.729289, 3108.649127,]	beta=(0.04750725188618141, -2.4368790654690016)
Cu	211	OCCOH	-0.440213000000	[74.607, 87.415, 137.82, 145.086, 161.702, 195.685, 296.527, 310.237, 419.282, 625.323, 902.186, 1120.622, 1324.162, 1958.888, 3681.98,]	beta=(0.13175443433055803, -1.0199329677567506)
Cu	211	OH	-0.352240000000	[217.55539, 290.717805, 304.525356, 518.282973, 552.557055, 3680.293579,]	beta=(0.06941548920337025, -0.657668572777617)
Cu	211	OHCCH2	-2.412506000000	[63.104545, 171.990086, 206.755474, 237.798254, 294.54292, 369.230473, 525.043665, 763.509413, 829.740333, 962.197779, 1010.677064, 1199.754398, 1359.772969, 1410.455798, 1534.890184, 2933.4632, 3056.896835, 3148.718911,]	beta=(0.24463717950663172, -3.488909305495674)
